Treino,Média
2013-2014_treino_130.csv_128-1,0.63
2013-2014_treino_131.csv_128-1,0.63
2013-2014_treino_132.csv_128-1,0.64
2013-2014_treino_133.csv_128-1,0.64
2013-2014_treino_134.csv_128-1,0.63
2013-2014_treino_135.csv_128-1,0.64
2013-2014_treino_136.csv_128-1,0.65
2013-2014_treino_137.csv_128-1,0.64
2013-2014_treino_138.csv_128-1,0.65
2013-2014_treino_139.csv_128-1,0.65
2013-2014_treino_140.csv_128-1,0.65
2013-2014_treino_141.csv_128-1,0.66
2013-2014_treino_142.csv_128-1,0.66
2013-2014_treino_143.csv_128-1,0.67
2013-2014_treino_144.csv_128-1,0.66
2013-2014_treino_145.csv_128-1,0.66
2013-2014_treino_146.csv_128-1,0.66
2013-2014_treino_147.csv_128-1,0.66
2013-2014_treino_148.csv_128-1,0.66
2013-2014_treino_149.csv_128-1,0.66
2013-2014_treino_150.csv_128-1,0.66
2013-2014_treino_151.csv_128-1,0.66
2013-2014_treino_152.csv_128-1,0.65
2013-2014_treino_153.csv_128-1,0.65
2013-2014_treino_154.csv_128-1,0.64
2013-2014_treino_155.csv_128-1,0.64
2013-2014_treino_156.csv_128-1,0.63
2013-2014_treino_157.csv_128-1,0.63
2013-2014_treino_158.csv_128-1,0.64
2013-2014_treino_159.csv_128-1,0.65
2013-2014_treino_160.csv_128-1,0.65
2013-2014_treino_161.csv_128-1,0.64
2013-2014_treino_162.csv_128-1,0.65
2013-2014_treino_163.csv_128-1,0.66
2013-2014_treino_164.csv_128-1,0.66
2013-2014_treino_165.csv_128-1,0.65
2013-2014_treino_166.csv_128-1,0.65
2013-2014_treino_167.csv_128-1,0.66
2013-2014_treino_168.csv_128-1,0.66
2013-2014_treino_169.csv_128-1,0.66
2013-2014_treino_170.csv_128-1,0.66
2013-2014_treino_171.csv_128-1,0.66
2013-2014_treino_172.csv_128-1,0.67
2013-2014_treino_173.csv_128-1,0.66
2013-2014_treino_174.csv_128-1,0.66
2013-2014_treino_175.csv_128-1,0.65
2013-2014_treino_176.csv_128-1,0.66
2013-2014_treino_177.csv_128-1,0.66
2013-2014_treino_178.csv_128-1,0.66
2013-2014_treino_179.csv_128-1,0.66
2013-2014_treino_180.csv_128-1,0.66
2013-2014_treino_181.csv_128-1,0.66
2013-2014_treino_182.csv_128-1,0.66
2013-2014_treino_183.csv_128-1,0.65
2013-2014_treino_184.csv_128-1,0.65
